episode_id,step,reward_mean_0,reward_mean_1,reward_total_0,reward_total_1,episode_length_steps,avg_speed_0_kmh,avg_speed_1_kmh,max_speed_0_kmh,max_speed_1_kmh,avg_angle_0_rad,avg_angle_1_rad,laps_0,laps_1,overtakes_0,overtakes_1,min_distance_m,avg_distance_m,pct_leader_0,pct_leader_1,max_meters_traveled_0,max_meters_traveled_1,max_progress_pct_0,max_progress_pct_1,best_lap_time_0_s,best_lap_time_1_s,policy_loss,value_loss,reason
100,6224,0.3052,0.2138,36.62,25.66,120,34.00,32.66,42.16,38.51,0.102,0.112,0,0,0,0,2.94,0.67,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,-0.04708,3.39575,wall_collision
101,6279,0.1158,0.0918,6.37,5.05,55,32.91,32.11,35.01,34.43,0.057,0.053,0,0,0,0,2.33,0.25,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
102,6335,0.1201,0.1132,6.73,6.34,56,30.76,30.51,34.22,34.43,0.083,0.106,0,0,0,0,2.69,0.07,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
103,6461,0.2077,0.2355,26.17,29.67,126,34.87,36.98,40.17,50.17,0.092,0.093,0,0,0,0,3.40,0.90,88.1,11.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
104,6567,0.1852,0.2127,19.63,22.55,106,34.36,35.65,43.94,45.06,0.065,0.080,0,0,0,0,2.72,0.64,67.9,32.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
105,6837,0.1288,0.1174,34.77,31.71,270,38.59,37.73,52.07,56.01,0.112,0.087,0,0,0,0,3.48,5.10,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.08037,17.27629,car_collision
106,6922,0.1440,0.0431,12.24,3.66,85,32.28,29.46,36.56,35.19,0.099,0.135,0,0,0,0,3.57,1.48,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
107,6985,0.0327,0.0392,2.06,2.47,63,30.71,30.44,34.43,34.21,0.069,0.070,0,0,0,0,2.11,0.29,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
108,7390,0.0850,0.0987,34.43,39.96,405,42.93,43.83,54.40,51.38,0.114,0.126,0,0,0,1,4.04,6.14,16.0,84.0,NaN,NaN,NaN,NaN,NaN,NaN,-0.05319,9.51431,car_collision
109,7454,0.1370,0.3059,8.77,19.58,64,31.74,32.90,34.98,39.10,0.115,0.106,0,0,0,0,4.14,0.19,90.6,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
110,7551,0.1172,0.1503,11.37,14.58,97,35.46,31.31,43.00,34.87,0.151,0.114,0,0,0,0,3.31,2.12,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
111,7755,0.1899,0.2959,38.73,60.37,204,37.23,43.14,44.67,57.07,0.145,0.118,0,0,0,1,3.19,4.12,60.8,39.2,NaN,NaN,NaN,NaN,NaN,NaN,-0.05677,7.36382,wall_collision
112,7831,0.0706,0.1450,5.36,11.02,76,32.96,34.66,40.05,42.12,0.113,0.068,0,0,0,0,2.85,1.03,48.7,51.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
